playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
masonro01,1991,NLCS,PIT,NL,0,0,3,0,0,0,1,13,3,0,0,1,2,0.214,0,0,0,0,0,16,1,0,1,0,0
merckke01,1991,NLCS,ATL,NL,0,1,1,0,0,0,0,2,0,1,0,2,0,0,13.5,0,0,0,0,4,0,1,0,0,0
merckke01,1991,WS,ATL,NL,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
morrija02,1991,ALCS,MIN,AL,2,0,2,2,0,0,0,40,17,6,0,1,7,0.304,4.05,0,2,0,0,57,0,6,0,0,0
morrija02,1991,WS,MIN,AL,2,0,3,3,1,1,0,69,18,3,1,9,15,0.222,1.17,1,1,0,0,92,0,3,2,0,2
pattebo01,1991,NLCS,PIT,NL,0,0,1,0,0,0,0,6,1,0,0,0,3,0.143,0,0,0,0,0,7,0,0,0,0,0
penaal01,1991,NLCS,ATL,NL,0,0,4,0,0,0,3,13,1,0,0,0,4,0.077,0,0,2,0,0,15,4,0,2,0,0
penaal01,1991,WS,ATL,NL,0,1,3,0,0,0,0,16,6,2,1,3,7,0.3,3.38,3,1,0,0,24,1,2,1,0,1
rodriro02,1991,NLCS,PIT,NL,0,0,1,0,0,0,0,3,1,3,1,2,1,0.25,27,0,0,0,0,7,1,3,1,0,0
smilejo01,1991,NLCS,PIT,NL,0,2,2,2,0,0,0,8,8,7,2,1,3,0.533,23.62,0,0,1,0,18,0,8,0,1,0
smithza01,1991,NLCS,PIT,NL,1,1,2,2,0,0,0,44,15,1,0,3,10,0.268,0.61,1,0,1,0,60,0,1,0,0,2
smoltjo01,1991,NLCS,ATL,NL,2,0,2,2,1,1,0,46,14,3,2,3,15,0.23,1.76,0,0,0,0,64,0,3,0,0,0
smoltjo01,1991,WS,ATL,NL,0,0,2,2,0,0,0,43,13,2,1,1,11,0.241,1.26,0,0,1,0,56,0,2,0,0,1
stantmi02,1991,NLCS,ATL,NL,0,0,3,0,0,0,0,11,4,1,0,3,3,0.333,2.45,1,1,0,0,17,1,1,1,1,0
stantmi02,1991,WS,ATL,NL,1,0,5,0,0,0,0,22,5,0,0,2,7,0.2,0,2,0,0,0,27,2,0,0,0,1
stclara01,1991,WS,ATL,NL,0,0,1,0,0,0,0,3,1,1,0,0,0,0.25,9,0,0,0,0,4,1,1,0,0,0
stottto01,1991,ALCS,TOR,AL,0,1,1,1,0,0,0,11,7,4,1,1,3,0.412,9.82,0,0,1,0,19,0,4,0,0,0
tapanke01,1991,ALCS,MIN,AL,0,1,2,2,0,0,0,31,16,9,0,3,9,0.364,7.84,0,0,0,0,48,0,9,1,0,1
tapanke01,1991,WS,MIN,AL,1,1,2,2,0,0,0,36,13,6,1,2,7,0.289,4.5,0,0,0,0,50,0,6,1,2,0
timlimi01,1991,ALCS,TOR,AL,0,1,4,0,0,0,0,17,5,2,1,2,5,0.208,3.18,1,0,0,0,27,2,4,0,1,1
tomlira01,1991,NLCS,PIT,NL,0,0,1,1,0,0,0,18,6,2,0,2,1,0.261,3,0,0,0,0,26,0,2,1,0,0
walkbo01,1991,NLCS,PIT,NL,0,0,3,0,0,0,1,28,5,2,1,3,5,0.156,1.93,1,0,0,1,35,1,2,0,0,0
warddu01,1991,ALCS,TOR,AL,0,1,2,0,0,0,1,13,4,3,0,1,6,0.25,6.23,0,0,0,0,17,1,3,0,0,0
wellsda01,1991,ALCS,TOR,AL,0,0,4,0,0,0,0,23,6,2,0,2,9,0.207,2.35,1,0,0,0,31,1,2,0,0,0
westda01,1991,ALCS,MIN,AL,1,0,2,0,0,0,0,17,1,0,0,4,4,0.059,0,1,2,0,0,22,0,0,1,0,1
westda01,1991,WS,MIN,AL,0,0,2,0,0,0,0,0,2,4,1,4,0,1,inf,0,0,0,0,6,0,4,0,0,0
willica01,1991,ALCS,MIN,AL,0,0,3,0,0,0,0,16,2,0,0,0,3,0.118,0,0,0,0,0,17,0,0,0,0,1
willica01,1991,WS,MIN,AL,0,0,4,0,0,0,0,21,6,4,2,2,2,0.25,5.14,1,0,0,0,27,1,4,1,0,2
wohlema01,1991,NLCS,ATL,NL,0,0,3,0,0,0,0,5,3,0,0,1,1,0.6,0,0,0,0,0,7,1,0,1,0,0
wohlema01,1991,WS,ATL,NL,0,0,3,0,0,0,0,5,2,0,0,2,1,0.286,0,0,0,0,0,9,0,0,0,0,0
averyst01,1992,NLCS,ATL,NL,1,1,3,2,0,0,0,24,13,8,0,2,3,0.361,9,0,1,0,0,38,0,8,0,0,0
averyst01,1992,WS,ATL,NL,0,1,2,2,0,0,0,36,11,5,3,3,11,0.25,3.75,0,0,0,0,48,0,5,0,1,2
belinst01,1992,NLCS,PIT,NL,0,0,2,0,0,0,0,5,2,0,0,1,2,0.333,0,0,0,0,0,8,2,0,0,1,0
coneda01,1992,ALCS,TOR,AL,1,1,2,2,0,0,0,36,11,4,1,5,9,0.239,3,0,0,0,0,51,0,7,0,0,0
coneda01,1992,WS,TOR,AL,0,0,2,2,0,0,0,31,9,4,0,8,8,0.237,3.48,0,1,0,0,47,0,5,0,1,2
corsiji01,1992,ALCS,OAK,AL,0,0,3,0,0,0,0,6,2,0,0,3,0,0.286,0,0,0,0,0,10,0,0,0,0,1
coxda01,1992,NLCS,PIT,NL,0,0,2,0,0,0,0,4,1,0,0,1,1,0.2,0,0,0,0,0,6,1,0,0,0,0
darliro01,1992,ALCS,OAK,AL,0,1,1,1,0,0,0,18,4,2,2,2,3,0.2,3,0,2,0,0,22,0,3,0,0,1
downske01,1992,ALCS,OAK,AL,0,1,2,0,0,0,0,7,3,1,0,1,0,0.3,3.86,0,0,0,0,12,1,3,0,1,0
drabedo01,1992,NLCS,PIT,NL,0,3,3,3,0,0,0,51,18,7,1,6,10,0.265,3.71,1,0,0,0,76,0,11,2,0,0
eckerde01,1992,ALCS,OAK,AL,0,0,3,0,0,0,1,9,8,2,1,0,2,0.471,6,0,0,0,0,17,2,2,0,0,0
eichhma01,1992,ALCS,TOR,AL,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
eichhma01,1992,WS,TOR,AL,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
freemma02,1992,NLCS,ATL,NL,0,0,3,0,0,0,0,11,8,6,1,2,1,0.444,14.73,0,0,0,0,21,0,6,1,0,0
glavito02,1992,NLCS,ATL,NL,0,2,2,2,0,0,0,22,13,10,3,3,2,0.382,12.27,1,0,2,0,40,0,11,1,0,2
glavito02,1992,WS,ATL,NL,1,1,2,2,2,0,0,51,10,3,2,4,8,0.175,1.59,0,0,0,0,61,0,3,0,0,2
guzmaju01,1992,ALCS,TOR,AL,2,0,2,2,0,0,0,39,12,3,0,5,11,0.24,2.08,0,0,1,0,56,0,3,0,0,1
guzmaju01,1992,WS,TOR,AL,0,0,1,1,0,0,0,24,8,1,0,1,7,0.258,1.12,1,0,0,0,32,0,2,0,0,0
henketo01,1992,ALCS,TOR,AL,0,0,4,0,0,0,3,14,3,0,0,2,2,0.176,0,0,0,0,0,19,4,0,0,0,0
henketo01,1992,WS,TOR,AL,0,0,3,0,0,0,2,10,2,1,0,2,1,0.182,2.7,0,0,1,0,15,2,1,1,0,0
honeyri01,1992,ALCS,OAK,AL,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0
jacksda02,1992,NLCS,PIT,NL,0,1,1,1,0,0,0,5,4,4,0,2,0,0.5,21.6,0,0,0,0,11,0,4,0,1,0
keyji01,1992,ALCS,TOR,AL,0,0,1,0,0,0,0,9,2,0,0,2,1,0.222,0,1,0,0,0,12,0,0,1,0,0
keyji01,1992,WS,TOR,AL,2,0,2,1,0,0,0,27,6,1,0,0,6,0.188,1,0,0,0,0,33,0,2,1,0,0
leibrch01,1992,NLCS,ATL,NL,0,0,2,0,0,0,0,14,4,1,0,3,3,0.235,1.93,0,0,0,0,20,0,1,0,0,0
leibrch01,1992,WS,ATL,NL,0,1,1,0,0,0,0,6,3,2,0,0,0,0.333,9,0,0,1,0,10,1,2,0,0,0
