year.key,league.key,team.key,park.key,span.first,span.last,games,openings,attendance
1996,AL,NYA,NYC16,09/04/96,25/09/96,80,78,2255051
1996,NL,NYN,NYC17,01/04/96,29/09/96,81,78,1582648
1996,AL,OAK,LAS01,01/04/96,07/04/96,6,6,54986
1996,AL,OAK,OAK01,19/04/96,29/09/96,75,74,1132362
1996,NL,PHI,PHI12,02/04/96,26/09/96,81,78,1796354
1996,NL,PIT,PIT07,08/04/96,25/09/96,80,78,1322079
1996,NL,SDN,MNT01,16/08/96,18/08/96,3,3,67382
1996,NL,SDN,SAN01,08/04/96,25/09/96,78,78,2140536
1996,AL,SEA,SEA02,31/03/96,22/09/96,81,81,2721073
1996,NL,SFN,SFO02,12/04/96,22/09/96,82,80,1418722
1996,NL,SLN,STL09,08/04/96,29/09/96,81,81,2645824
1996,AL,TEX,ARL02,01/04/96,29/09/96,81,80,2889040
1996,AL,TOR,TOR02,09/04/96,29/09/96,81,81,2559910
1997,AL,ANA,ANA01,02/04/97,28/09/97,82,81,1774702
1997,NL,ATL,ATL02,04/04/97,22/09/97,81,81,3447608
1997,AL,BAL,BAL12,02/04/97,22/09/97,81,80,3692388
1997,AL,BOS,BOS07,11/04/97,21/09/97,81,80,2223602
1997,AL,CHA,CHI12,04/04/97,28/09/97,81,78,1865052
1997,NL,CHN,CHI11,08/04/97,21/09/97,81,79,2189948
1997,NL,CIN,CIN08,01/04/97,22/09/97,81,80,1790058
1997,AL,CLE,CLE08,11/04/97,28/09/97,81,80,3394750
1997,NL,COL,DEN02,07/04/97,28/09/97,81,81,3893433
1997,AL,DET,DET04,07/04/97,28/09/97,81,79,1395413
1997,NL,FLO,MIA01,01/04/97,22/09/97,81,80,2352567
1997,NL,HOU,HOU02,01/04/97,28/09/97,81,81,2046275
1997,AL,KCA,KAN06,07/04/97,21/09/97,80,77,1526638
1997,NL,LAN,LOS03,01/04/97,24/09/97,81,81,3319320
1997,AL,ML4,MIL05,07/04/97,28/09/97,80,78,1450029
1997,AL,MIN,MIN03,01/04/97,22/09/97,81,81,1413064
1997,NL,MON,MON02,01/04/97,28/09/97,81,81,1507166
1997,AL,NYA,NYC16,11/04/97,22/09/97,80,78,2581043
1997,NL,NYN,NYC17,13/04/97,28/09/97,81,78,1775201
1997,AL,OAK,OAK01,02/04/97,24/09/97,81,79,1260565
1997,NL,PHI,PHI12,11/04/97,28/09/97,81,77,1490542
1997,NL,PIT,PIT07,11/04/97,22/09/97,81,80,1694633
1997,NL,SDN,HON01,19/04/97,20/04/97,3,2,77432
1997,NL,SDN,SAN01,01/04/97,22/09/97,78,78,2011901
1997,AL,SEA,SEA02,01/04/97,28/09/97,81,81,3197054
1997,NL,SFN,SFO02,01/04/97,28/09/97,81,80,1696583
1997,NL,SLN,STL09,08/04/97,28/09/97,81,81,2654568
1997,AL,TEX,ARL02,01/04/97,21/09/97,81,80,2923590
1997,AL,TOR,TOR02,01/04/97,28/09/97,81,81,2589317
1998,AL,ANA,ANA01,01/04/98,23/09/98,81,81,2519280
1998,NL,ARI,PHO01,31/03/98,27/09/98,81,81,3604237
1998,NL,ATL,ATL02,31/03/98,27/09/98,81,81,3361350
1998,AL,BAL,BAL12,31/03/98,20/09/98,81,81,3684560
1998,AL,BOS,BOS07,10/04/98,27/09/98,81,80,2343930
1998,AL,CHA,CHI12,06/04/98,20/09/98,82,79,1391146
1998,NL,CHN,CHI11,03/04/98,28/09/98,82,80,2623000
1998,NL,CIN,CIN08,31/03/98,27/09/98,81,81,1793676
1998,AL,CLE,CLE08,10/04/98,20/09/98,81,81,3467299
1998,NL,COL,DEN02,07/04/98,27/09/98,81,81,3791276
1998,AL,DET,DET04,07/04/98,20/09/98,81,79,1409391
1998,NL,FLO,MIA01,31/03/98,27/09/98,81,79,1750395
1998,NL,HOU,HOU02,31/03/98,27/09/98,81,80,2450451
1998,AL,KCA,KAN06,07/04/98,27/09/98,80,79,1494875
1998,NL,LAN,LOS03,07/04/98,27/09/98,81,81,3089222
1998,NL,MIL,MIL05,07/04/98,23/09/98,81,79,1811548
1998,AL,MIN,MIN03,03/04/98,27/09/98,81,81,1165980
1998,NL,MON,MON02,01/04/98,16/09/98,81,81,914909
1998,AL,NYA,NYC16,10/04/98,27/09/98,80,79,2908991
1998,AL,NYA,NYC17,15/04/98,15/04/98,1,1,40743
1998,NL,NYN,NYC17,31/03/98,23/09/98,81,77,2287942
